                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.40346,                0.34454,                 1.0061,                0.91678,                 0.9421,                0.97067,                 0.8984,                0.39167,                0.38285,                0.97627,             0.00041258,             0.00041258,             0.00041258
                      1,                0.41451,                0.36798,                 1.0022,                0.88751,                0.85616,                0.94016,                0.86869,                0.38956,                 0.5892,                0.99046,             0.00080188,             0.00080188,             0.00080188
                      2,                0.46012,                0.44287,                 1.0297,                0.92577,                0.94482,                0.98077,                0.89762,                 0.4104,                0.40384,                0.99308,              0.0011637,              0.0011637,              0.0011637
                      3,                0.49646,                0.47778,                 1.0529,                0.88797,                0.91507,                0.95349,                0.85878,                0.45009,                0.49437,                 1.0325,              0.0011263,              0.0011263,              0.0011263
                      4,                0.49428,                0.47602,                 1.0522,                0.87955,                0.93771,                 0.9588,                0.87931,                0.40843,                0.40846,                0.98804,              0.0011263,              0.0011263,              0.0011263
                      5,                0.50549,                0.48971,                 1.0604,                0.84242,                0.93501,                0.96539,                0.89176,                0.40646,                0.47742,                 0.9766,               0.001085,               0.001085,               0.001085
                      6,                0.48818,                0.46029,                 1.0423,                0.92281,                0.91778,                0.96725,                 0.8767,                0.44141,                0.43834,                 1.0223,              0.0010438,              0.0010438,              0.0010438
                      7,                0.48944,                0.48152,                  1.049,                0.84856,                0.94363,                0.94902,                0.86425,                0.45488,                0.51092,                 1.0494,              0.0010025,              0.0010025,              0.0010025
                      8,                0.45651,                0.42915,                 1.0218,                0.87238,                0.89073,                0.95087,                0.87296,                0.43118,                0.54318,                 1.0097,             0.00096125,             0.00096125,             0.00096125
                      9,                0.45283,                0.44697,                 1.0225,                0.90469,                0.91574,                0.96267,                0.89267,                0.41457,                0.44693,                0.99963,                0.00092,                0.00092,                0.00092
                     10,                0.45511,                0.39899,                 1.0278,                0.89069,                0.94929,                0.97041,                0.89693,                0.41365,                0.45665,                0.98997,             0.00087875,             0.00087875,             0.00087875
                     11,                0.45061,                0.39788,                 1.0224,                0.79838,                0.87493,                0.93724,                0.84951,                0.44698,                0.62148,                 1.0413,              0.0008375,              0.0008375,              0.0008375
                     12,                0.46486,                0.41347,                  1.036,                0.95268,                0.90643,                0.97145,                0.89572,                0.42462,                0.42453,                 1.0019,             0.00079625,             0.00079625,             0.00079625
                     13,                0.44255,                0.39588,                 1.0165,                0.92385,                0.92913,                0.97315,                0.90056,                  0.413,                0.40367,                0.97403,               0.000755,               0.000755,               0.000755
                     14,                0.45789,                0.40575,                 1.0333,                0.89262,                0.93346,                0.96834,                0.90821,                0.39682,                0.40629,                0.98383,             0.00071375,             0.00071375,             0.00071375
                     15,                0.46528,                0.40973,                 1.0381,                0.90983,                0.90546,                0.97175,                0.90081,                0.37667,                0.44167,                0.94836,              0.0006725,              0.0006725,              0.0006725
                     16,                0.46597,                0.41182,                 1.0411,                0.91673,                0.95669,                0.97692,                0.90635,                0.39024,                0.38818,                0.96259,             0.00063125,             0.00063125,             0.00063125
                     17,                0.47075,                0.42263,                 1.0453,                0.92916,                0.95236,                0.98051,                 0.9096,                0.39562,                0.35103,                0.97945,                0.00059,                0.00059,                0.00059
                     18,                0.46946,                0.41052,                 1.0459,                0.94294,                 0.9821,                0.98115,                 0.9158,                0.37707,                0.31758,                0.96336,             0.00054875,             0.00054875,             0.00054875
                     19,                0.46024,                0.42472,                 1.0374,                0.90474,                0.94374,                0.97518,                0.91865,                0.37501,                0.37073,                0.96582,              0.0005075,              0.0005075,              0.0005075
                     20,                0.45177,                0.38988,                 1.0342,                0.92684,                0.98434,                0.98449,                0.91919,                0.38665,                0.29578,                0.98207,             0.00046625,             0.00046625,             0.00046625
                     21,                0.44594,                0.37719,                 1.0285,                0.96421,                0.96258,                 0.9844,                0.92681,                0.38095,                0.29568,                0.96743,               0.000425,               0.000425,               0.000425
                     22,                0.44717,                0.38136,                 1.0309,                0.95146,                0.92603,                0.98373,                0.91783,                0.36884,                0.32772,                0.96488,             0.00038375,             0.00038375,             0.00038375
                     23,                0.45297,                 0.3726,                  1.037,                0.95591,                0.97809,                0.98641,                0.92578,                0.36104,                0.26215,                0.97155,              0.0003425,              0.0003425,              0.0003425
                     24,                 0.4392,                0.36463,                 1.0251,                 0.9557,                0.94766,                 0.9866,                0.92509,                0.36555,                0.29702,                0.96175,             0.00030125,             0.00030125,             0.00030125
                     25,                0.42985,                0.34911,                 1.0278,                0.94517,                0.98132,                 0.9862,                0.92741,                0.36683,                0.28248,                0.96644,                0.00026,                0.00026,                0.00026
                     26,                0.41586,                0.34907,                 1.0263,                0.93616,                0.97895,                0.98846,                0.92866,                0.35942,                0.27786,                0.95044,             0.00021875,             0.00021875,             0.00021875
                     27,                0.42264,                0.34103,                 1.0159,                0.95251,                0.97294,                0.98882,                0.92916,                0.35006,                0.27603,                0.93679,              0.0001775,              0.0001775,              0.0001775
                     28,                0.40462,                0.33009,                 1.0053,                0.95134,                0.94446,                0.98281,                0.92254,                0.36102,                0.30758,                0.95121,             0.00013625,             0.00013625,             0.00013625
                     29,                0.41683,                0.32891,                 1.0174,                 0.9537,                0.96421,                0.98706,                 0.9271,                0.35276,                0.28668,                0.93958,                9.5e-05,                9.5e-05,                9.5e-05
